GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.languagetool.tagging.ca,CatalanTagger,445,0,62,0,97,0,37,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralStandardReplaceRule,90,0,2,0,23,0,9,0,8,0
JaCoCo Coverage Report,org.languagetool.rules.ga,SpacesRule,51,0,0,0,16,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsData,529,0,52,0,96,0,33,0,7,0
JaCoCo Coverage Report,org.languagetool.rules.ga,PrestandardReplaceRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,NoDisambiguationIrishPartialPosTagFilter,41,0,0,0,7,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.ga,EnglishHomophoneRule,59,0,0,0,16,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,CompoundRule,42,0,4,0,14,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtRule,273,0,32,0,53,0,22,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishReplaceRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtData,110,0,8,0,26,0,8,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishFGBEqReplaceRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishPartialPosTagFilter,56,0,0,0,9,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsEntry,102,0,16,0,26,0,24,0,16,0
JaCoCo Coverage Report,org.languagetool.rules.ga,MorfologikIrishSpellerRule,50,0,4,0,16,0,8,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.ga,LogainmRule,58,0,0,0,17,0,10,0,10,0
JaCoCo Coverage Report,org.languagetool.rules.ga,PeopleRule,55,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishSpecificCaseRule,214,0,28,0,47,0,21,0,7,0
JaCoCo Coverage Report,org.languagetool.tagging.sk,SlovakTagger,8,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.synthesis.pl,PolishSynthesizer,360,0,58,0,77,0,34,0,5,0
JaCoCo Coverage Report,org.languagetool.tokenizers.zh,ChineseWordTokenizer,45,0,4,0,13,0,5,0,3,0
JaCoCo Coverage Report,org.languagetool.tokenizers.zh,ChineseSentenceTokenizer,86,0,12,0,21,0,10,0,4,0
JaCoCo Coverage Report,org.languagetool.languagemodel,MultiLanguageModel,73,0,4,0,18,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneSingleIndexLanguageModel,555,0,40,0,94,0,35,0,15,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneSingleIndexLanguageModel.LuceneSearcher,32,0,2,0,9,0,3,0,2,0
JaCoCo Coverage Report,org.languagetool.languagemodel,MockLanguageModel,10,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneLanguageModel,127,0,10,0,20,0,17,0,12,0
JaCoCo Coverage Report,org.languagetool.languagemodel,BaseLanguageModel,261,0,14,0,47,0,12,0,5,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,FalseFriendsAsBitextLoader,88,0,6,0,20,0,5,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRuleHandler,414,0,44,0,90,0,32,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRuleLoader,42,0,0,0,10,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRule,44,0,2,0,13,0,9,0,8,0
JaCoCo Coverage Report,org.languagetool.synthesis.pt,PortugueseSynthesizer,6,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation.ru,RussianHybridDisambiguator,25,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianRedundancyRule,45,0,0,0,15,0,10,0,10,0
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianWikipediaRule,45,0,0,0,15,0,10,0,10,0
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianBarbarismsRule,45,0,0,0,15,0,10,0,10,0
JaCoCo Coverage Report,org.languagetool.rules.gl,CastWordsRule,42,0,0,0,12,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.gl,SimpleReplaceRule,42,0,0,0,12,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.gl,GalicianWordinessRule,42,0,0,0,14,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.tokenizers.ja,JapaneseWordTokenizer,81,0,4,0,18,0,4,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsOrdererFeatureExtractor.Feature,269,0,10,0,46,0,14,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsOrderer,15,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesDataset,46,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsChanges,477,0,50,0,77,0,48,0,23,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsChanges.Report,412,0,12,0,60,0,8,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionsOrdererFeatureExtractor,219,0,10,0,42,0,12,0,7,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesExperiment,72,0,6,0,21,0,7,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesTestConfig,48,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.spelling.suggestions,SuggestionChangesExperimentRuns,22,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,MultiWordChunker2.MultiWordEntry,31,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,MultiWordChunker2,418,0,50,0,91,0,38,0,13,0
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,MultiWordChunker,205,391,21,51,38,82,17,26,3,4
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation,AbstractDisambiguator,2,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,org.languagetool.tagging.km,KhmerTagger,8,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.tokenizers.ro,RomanianWordTokenizer,27,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,org.languagetool.tagging.sv,SwedishTagger,8,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanTagger,1653,0,214,0,253,0,129,0,22,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Kasus,35,0,0,0,9,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,AnalyzedGermanToken,241,0,58,0,66,0,35,0,6,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.POSType,50,0,0,0,12,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanTagger.PrefixInfixVerb,12,0,0,0,5,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Determination,20,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Genus,35,0,0,0,9,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,GermanToken.Numerus,25,0,0,0,7,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,VerbPrefixes,431,0,0,0,5,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.tagging.de,SwissGermanTagger,68,0,14,0,14,0,9,0,2,0
JaCoCo Coverage Report,org.languagetool.tagging.da,DanishTagger,8,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.language,Tagalog,81,14,0,0,5,4,5,4,5,4
JaCoCo Coverage Report,org.languagetool.language,Breton,92,14,0,0,7,4,7,4,7,4
JaCoCo Coverage Report,org.languagetool.language,RuleFilenameException,12,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.language,Portuguese,506,39,44,0,71,5,62,5,20,5
JaCoCo Coverage Report,org.languagetool.language,Japanese,44,14,0,0,6,4,6,4,6,4
JaCoCo Coverage Report,org.languagetool.language,AngolaPortuguese,29,12,0,0,5,3,1,3,1,3
JaCoCo Coverage Report,org.languagetool.language,Contributor,26,0,0,0,9,0,5,0,5,0
JaCoCo Coverage Report,org.languagetool.language,Khmer,75,14,0,0,7,4,7,4,7,4
JaCoCo Coverage Report,org.languagetool.language,LanguageIdentifier.ImprovedUrlTextFilter,0,28,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,org.languagetool.language,LanguageBuilder.ExtendedLanguage,125,0,0,0,31,0,24,0,24,0
JaCoCo Coverage Report,org.languagetool.language,Russian,278,14,4,0,26,4,19,4,17,4
JaCoCo Coverage Report,org.languagetool.language,ValencianCatalan,269,14,0,0,9,4,3,4,3,4
JaCoCo Coverage Report,org.languagetool.language,LanguageIdentifier.RemoveNonBreakingSpaces,0,9,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.languagetool.language,GermanyGerman,26,12,0,0,3,3,1,3,1,3
JaCoCo Coverage Report,org.languagetool.language,LanguageIdentifier.RemoveEMailSignatureFilter,0,10,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,org.languagetool.language,LanguageBuilder.new Language() {...},94,0,4,0,15,0,11,0,9,0
JaCoCo Coverage Report,org.languagetool.language,Contributors,19,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.language,German,641,29,43,0,81,7,59,6,23,6
