GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.languagetool.tagging.ca,CatalanTagger,220,225,36,26,46,51,25,12,0,6
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralStandardReplaceRule,21,69,0,2,4,19,3,6,3,5
JaCoCo Coverage Report,org.languagetool.rules.ga,SpacesRule,17,34,0,0,4,12,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsData,53,476,7,45,6,90,9,24,2,5
JaCoCo Coverage Report,org.languagetool.rules.ga,PrestandardReplaceRule,17,38,0,0,4,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,NoDisambiguationIrishPartialPosTagFilter,41,0,0,0,7,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.ga,EnglishHomophoneRule,21,38,0,0,3,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,CompoundRule,2,40,1,3,1,13,2,4,1,3
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtRule,198,75,25,7,31,22,16,6,2,4
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishReplaceRule,17,38,0,0,4,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtData,9,101,2,6,2,24,3,5,1,3
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishFGBEqReplaceRule,17,38,0,0,4,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishPartialPosTagFilter,41,15,0,0,6,3,1,1,1,1
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsEntry,33,69,8,8,6,20,11,13,6,10
JaCoCo Coverage Report,org.languagetool.rules.ga,MorfologikIrishSpellerRule,19,31,4,0,6,10,3,5,1,5
JaCoCo Coverage Report,org.languagetool.rules.ga,LogainmRule,24,34,0,0,5,12,4,6,4,6
JaCoCo Coverage Report,org.languagetool.rules.ga,PeopleRule,17,38,0,0,4,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishSpecificCaseRule,63,151,14,14,10,37,10,11,2,5
JaCoCo Coverage Report,org.languagetool.tagging.sk,SlovakTagger,0,8,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.languagetool.synthesis.pl,PolishSynthesizer,360,0,58,0,77,0,34,0,5,0
JaCoCo Coverage Report,org.languagetool.tokenizers.zh,ChineseWordTokenizer,6,39,0,4,2,11,0,5,0,3
JaCoCo Coverage Report,org.languagetool.tokenizers.zh,ChineseSentenceTokenizer,35,51,6,6,9,12,7,3,2,2
JaCoCo Coverage Report,org.languagetool.languagemodel,MultiLanguageModel,73,0,4,0,18,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneSingleIndexLanguageModel,555,0,40,0,94,0,35,0,15,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneSingleIndexLanguageModel.LuceneSearcher,32,0,2,0,9,0,3,0,2,0
JaCoCo Coverage Report,org.languagetool.languagemodel,MockLanguageModel,10,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.languagemodel,LuceneLanguageModel,127,0,10,0,20,0,17,0,12,0
JaCoCo Coverage Report,org.languagetool.languagemodel,BaseLanguageModel,261,0,14,0,47,0,12,0,5,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,FalseFriendsAsBitextLoader,88,0,6,0,20,0,5,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRuleHandler,414,0,44,0,90,0,32,0,6,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRuleLoader,42,0,0,0,10,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.patterns.bitext,BitextPatternRule,44,0,2,0,13,0,9,0,8,0
JaCoCo Coverage Report,org.languagetool.synthesis.pt,PortugueseSynthesizer,0,6,0,0,0,2,0,1,0,1
