GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.languagetool.tagging.ca,CatalanTagger,208,237,32,30,44,53,21,16,0,6
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralStandardReplaceRule,21,69,0,2,4,19,3,6,3,5
JaCoCo Coverage Report,org.languagetool.rules.ga,SpacesRule,23,28,0,0,7,9,6,3,6,3
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsData,53,476,7,45,6,90,9,24,2,5
JaCoCo Coverage Report,org.languagetool.rules.ga,PrestandardReplaceRule,17,38,0,0,4,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,NoDisambiguationIrishPartialPosTagFilter,41,0,0,0,7,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.ga,EnglishHomophoneRule,21,38,0,0,3,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,CompoundRule,2,40,1,3,1,13,2,4,1,3
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtRule,198,75,25,7,31,22,16,6,2,4
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishReplaceRule,17,38,0,0,4,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,DhaNoBeirtData,9,101,2,6,2,24,3,5,1,3
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishFGBEqReplaceRule,17,38,0,0,4,13,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.ga,IrishPartialPosTagFilter,41,15,0,0,6,3,1,1,1,1
JaCoCo Coverage Report,org.languagetool.rules.ga,DativePluralsEntry,33,69,8,8,6,20,11,13,6,10
JaCoCo Coverage Report,org.languagetool.rules.ga,MorfologikIrishSpellerRule,19,31,4,0,6,10,3,5,1,5
JaCoCo Coverage Report,org.languagetool.rules.ga,LogainmRule,30,28,0,0,8,9,7,3,7,3
JaCoCo Coverage Report,org.languagetool.rules.ga,PeopleRule,17,38,0,0,4,13,3,6,3,6
